"Time"	"0 RT t"
59.174600	0.140230
72.403000	0.220690
82.092800	0.250670
98.870400	0.644020
114.666800	-0.100000
121.672800	-0.100000
124.021200	-0.100000
126.874200	-0.100000
129.571700	-0.100000
132.569400	0.655990
140.285100	-0.100000
145.636200	-0.100000
150.564400	-0.100000
157.931500	-0.100000
161.195300	0.373300
181.991400	-0.100000
188.136300	0.646770
199.527000	0.243300
207.204700	0.310180
211.290900	0.207800
226.393800	0.254150
229.856400	0.212730
232.556700	0.196350
235.816300	0.185420
244.964200	0.295350
249.246400	0.308710
264.594900	0.181060
268.855900	0.178510
282.196700	0.184130
288.518300	-0.100000
292.369700	0.244110
298.755200	0.333100
306.901500	-0.100000
312.551000	0.456850
325.489500	0.135340
336.313600	0.190110
344.651800	0.422700
352.094900	0.287740
358.547500	0.239120
360.983900	0.058190
373.459500	0.245080
377.660700	0.189560
409.616000	0.209770
413.418400	0.230220
429.763100	0.056090
432.095000	0.249100
444.388500	0.154910
448.573000	0.215890
455.217900	0.257860
461.408800	0.203400
482.815900	0.269740
495.285900	0.200550
498.244400	0.237810
503.449100	0.216740
509.702000	0.195280
522.145500	0.192690
528.553500	0.180630
552.366700	0.235570
555.872300	0.156970
571.432000	0.285120
587.675500	0.169580
602.532600	0.178670
605.978400	0.358100
608.827600	0.279840
611.529200	0.216240
627.724100	0.127090
630.877800	0.194350
656.765100	0.217970
659.722100	0.170680
667.814100	0.186180
690.468200	0.178090
706.693500	0.246450
710.459300	0.218950
723.698300	0.209380
736.676600	0.217290
754.965900	0.153890
784.646400	0.205800
803.526200	0.014590
811.264900	0.230080
821.680800	0.327920
827.517400	0.236440
873.060900	0.211490
877.372800	0.301690
880.287700	0.196720
893.294100	0.067000
899.976600	0.224110
908.517200	0.171360
951.485400	0.225530
953.956400	0.367130
958.905400	0.303740
966.568900	0.285710
973.285400	0.295470
984.685500	0.163530
999.011000	0.288250
1012.162700	0.388490
1027.477100	0.289080
1031.282700	0.203100
1048.741700	0.248160
1067.475900	0.236350
1087.511900	0.279190
1093.929700	0.185750
1100.995100	0.253330
1103.961700	0.244580
1135.100400	0.367630
1144.491300	0.030990
1155.808500	0.191050
1179.562400	0.258410
1200.607800	0.240000
1207.401800	0.287870
1227.078600	0.144530
1235.452400	0.425380
1251.868100	0.215430
1277.762100	0.248700
1284.751300	2.001140
1286.630400	0.122040
1299.495000	0.099990
1303.474600	0.236380
1323.538500	0.273760
1363.496400	0.922340
1375.988600	0.087160
1400.111400	0.254760
1421.417900	0.425200
1425.761300	0.139470
1443.263500	0.489660
1447.055100	0.509410
1456.052100	0.499570
1477.839700	-0.100000
1480.740200	0.368360
1513.707200	-0.100000
1520.385500	0.525680
1532.121800	0.223070
1536.972200	1.031410
1552.348300	0.985260
1583.165000	0.240840
1611.483100	0.474900
1623.451400	-0.100000
1626.502200	0.181900
1629.431400	-0.100000
1640.751100	0.022520
1649.874400	0.363330
1663.025300	0.088850
1677.672700	0.291430
1716.861600	0.338840
1743.190900	0.133110
1754.898500	-0.100000
