"Time"	"0 RT t"
29.348100	-0.100000
36.636900	-0.100000
42.429500	2.040450
76.248100	0.462820
84.425400	0.364870
89.237600	0.347760
94.867100	0.353580
107.406300	0.458950
113.867100	0.538660
120.664000	0.367050
126.866700	0.368800
133.227800	0.380770
148.346000	0.350460
158.660300	0.362650
162.404400	0.000380
175.866600	0.346580
179.383900	0.305160
193.147300	0.323170
200.137400	0.324510
203.093100	0.319950
208.946900	0.324790
233.987800	0.322770
244.291100	0.371920
248.804200	0.396670
252.431600	0.309380
277.141700	0.341470
280.507000	0.314700
283.684400	0.317920
312.030200	0.327470
317.608300	0.301850
323.961800	0.334870
331.678400	0.314850
338.292000	0.294440
342.520100	0.290160
345.646200	0.292190
358.356300	0.314070
373.544200	0.287830
376.975800	0.269800
380.756700	0.282670
385.989700	0.283860
390.583500	0.277270
403.747300	0.304990
412.131700	0.305000
429.019300	0.292860
442.974100	0.288920
456.692400	0.296780
460.780800	0.271450
470.716800	0.295760
475.918400	0.285010
479.354900	0.327810
497.753800	0.296490
517.602500	0.284970
529.572900	0.278220
532.612900	0.261680
542.070700	0.286210
556.430300	0.278360
560.622000	0.312820
568.045900	0.291720
573.835400	0.287300
579.761300	0.282780
587.010800	0.258960
612.425100	0.334910
626.629200	0.329290
632.990900	0.273560
635.708200	0.253600
641.966100	0.274190
645.678700	0.323630
653.458700	0.295970
656.599400	0.286100
680.820600	0.271650
687.106400	0.206730
690.881800	0.336060
713.994200	0.215770
718.040200	0.251690
767.350400	0.348690
771.095800	0.242090
778.481400	0.331590
791.798900	0.232920
802.742600	0.223330
805.566500	0.235960
808.726700	0.188220
826.991100	0.210880
865.234200	0.219740
879.877300	0.285070
885.121500	0.230890
889.038300	0.214550
935.254600	-0.100000
942.359000	0.129340
957.223700	0.516020
972.306200	0.437770
978.343100	0.278620
983.460000	0.295130
997.675100	0.321470
1011.784800	0.145990
1026.624700	0.348530
1051.381800	0.269710
1063.526500	0.927840
1083.696300	1.718950
1089.197400	1.464880
1093.393900	-0.100000
1095.527700	0.245190
1118.436400	-0.100000
1121.962300	2.152420
1126.402300	0.673810
1146.927900	0.235940
1173.096500	0.338590
1184.741900	-0.100000
1186.903700	2.116140
1193.072100	0.487200
1210.400300	0.577410
